ID,Route,Sub-route / Section,Interaction / Element,Event Type,Event Name,Event JSON (event_data payload),Description,Priority,Already Implemented
41,/summary,Filter Bar > TA,Select 'Neuroscience (NS)',filter_applied,summary_filter_ta_ns,"{""filter"": ""therapeutic_area"", ""value"": ""NS"", ""label"": ""Neuroscience"", ""page"": ""summary""}",User filters Summary by Neuroscience therapeutic area.,High,No
42,/summary,Filter Bar > TA,Select 'Specialty Care (SCG)',filter_applied,summary_filter_ta_scg,"{""filter"": ""therapeutic_area"", ""value"": ""SCG"", ""label"": ""Specialty Care"", ""page"": ""summary""}",User filters Summary by Specialty Care therapeutic area.,High,No
43,/summary,Filter Bar,Region filter dropdown opened,filter_opened,summary_filter_region_opened,"{""filter"": ""region"", ""current_value"": ""{{current_value}}"", ""page"": ""summary""}",User opens the Region filter dropdown on Summary page.,High,No
44,/summary,Filter Bar > Region,Select 'All regions',filter_applied,summary_filter_region_all,"{""filter"": ""region"", ""value"": null, ""label"": ""All regions"", ""page"": ""summary""}",User selects All regions (resets region filter).,Medium,No
45,/summary,Filter Bar > Region,Select 'West',filter_applied,summary_filter_region_west,"{""filter"": ""region"", ""value"": ""West"", ""label"": ""West"", ""page"": ""summary""}",User filters Summary by West region.,High,No
46,/summary,Filter Bar > Region,Select 'Central',filter_applied,summary_filter_region_central,"{""filter"": ""region"", ""value"": ""Central"", ""label"": ""Central"", ""page"": ""summary""}",User filters Summary by Central region.,High,No
47,/summary,Filter Bar > Region,Select 'Northeast',filter_applied,summary_filter_region_northeast,"{""filter"": ""region"", ""value"": ""Northeast"", ""label"": ""Northeast"", ""page"": ""summary""}",User filters Summary by Northeast region.,High,No
48,/summary,Filter Bar > Region,Select 'Southeast',filter_applied,summary_filter_region_southeast,"{""filter"": ""region"", ""value"": ""Southeast"", ""label"": ""Southeast"", ""page"": ""summary""}",User filters Summary by Southeast region.,High,No
49,/summary,Filter Bar > Region,Select 'East',filter_applied,summary_filter_region_east,"{""filter"": ""region"", ""value"": ""East"", ""label"": ""East"", ""page"": ""summary""}",User filters Summary by East region.,High,No
50,/summary,Filter Bar,Clear single active filter (× icon),filter_cleared,summary_filter_cleared_single,"{""filter"": ""{{filter_name}}"", ""cleared_value"": ""{{value}}"", ""page"": ""summary""}",User clears one individual active filter pill via the × icon.,Medium,No
51,/summary,Filter Bar,Clear all filters button click,button_click,summary_filters_clear_all,"{""button"": ""clear_all_filters"", ""cleared_filters"": ""{{ta|timeframe|region}}"", ""page"": ""summary""}",User clears all active filters at once via the Clear all button.,High,No
52,/summary,View Selector,Select View 1 — Coaching Coverage & Cadence,button_click,summary_view_coaching_coverage_selected,"{""view"": ""coaching_coverage_cadence"", ""view_num"": 1, ""page"": ""summary""}",User selects the Coaching Coverage & Cadence view card.,High,No
53,/summary,View Selector,Select View 2 — Training & Skill Gaps,button_click,summary_view_training_skill_gaps_selected,"{""view"": ""training_skill_gaps"", ""view_num"": 2, ""page"": ""summary""}",User selects the Training & Skill Gaps view card — shows PINS coaching analysis.,High,No
54,/summary,View Selector,Select View 3 — Skill Proficiency Trend,button_click,summary_view_skill_proficiency_trend_selected,"{""view"": ""skill_proficiency_trend"", ""view_num"": 3, ""page"": ""summary""}",User selects the Skill Proficiency Trend view card.,High,No
55,/summary > View 1,Coverage Charts,Toggle chart — 'By region',button_click,summary_chart_toggle_by_region,"{""button"": ""chart_toggle"", ""value"": ""region"", ""view"": ""coaching_coverage_cadence"", ""page"": ""summary""}",User switches the FCR bar chart to show breakdown by geographic region.,Medium,No
56,/summary > View 1,Coverage Charts,Toggle chart — 'By therapeutic area',button_click,summary_chart_toggle_by_ta,"{""button"": ""chart_toggle"", ""value"": ""ta"", ""view"": ""coaching_coverage_cadence"", ""page"": ""summary""}",User switches the FCR bar chart to show breakdown by therapeutic area.,Medium,No
57,/summary > View 1,Coverage Charts,All pill click (reset chart),button_click,summary_chart_all_pill_clicked,"{""button"": ""all_pill"", ""view"": ""coaching_coverage_cadence"", ""page"": ""summary""}",User clicks the 'All' pill to reset chart grouping.,Low,No
58,/summary > View 1,Info Banner,FYI info banner click (expand),button_click,summary_fyi_banner_clicked,"{""button"": ""fyi_info_banner"", ""view"": ""coaching_coverage_cadence"", ""page"": ""summary""}",User clicks the informational FYI banner — 'Region factors affecting counts'.,Low,No
59,/summary > View 2,PINS Coverage,AI Insights button click (open panel),button_click,summary_tsg_ai_insights_opened,"{""button"": ""ai_insights"", ""view"": ""training_skill_gaps"", ""context"": ""pins_coverage"", ""page"": ""summary""}",User opens the AI Insights side panel for PINS Training & Skill Gaps analysis.,High,No
60,/summary > View 2,AI Insights Panel,Close AI Insights panel (X),button_click,summary_tsg_ai_insights_panel_closed,"{""button"": ""ai_insights_close"", ""view"": ""training_skill_gaps"", ""page"": ""summary""}",User closes the AI PINS Insights side panel.,Medium,No
61,/summary > View 2,AI Insights Panel,Regenerate AI Insights button,button_click,summary_tsg_ai_insights_regenerated,"{""button"": ""regenerate_ai_insights"", ""view"": ""training_skill_gaps"", ""page"": ""summary""}",User regenerates AI insights for the training skill gap data.,High,No
62,/summary > View 3,Skill Proficiency Trend,AI INSIGHTS button click (open panel),button_click,summary_spt_ai_insights_opened,"{""button"": ""ai_insights"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User opens AI Insights panel for the Skill Proficiency Trend view.,High,No
63,/summary > View 3,AI Insights Panel,Close AI Insights panel (X),button_click,summary_spt_ai_insights_panel_closed,"{""button"": ""ai_insights_close"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User closes the AI Skill Trend Insights side panel.,Medium,No
64,/summary > View 3,AI Insights Panel,Regenerate AI Insights,button_click,summary_spt_ai_insights_regenerated,"{""button"": ""regenerate_ai_insights"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User regenerates AI insights for skill proficiency trends.,High,No
65,/summary > View 3,Drill-In Panel,Expand drill-down panel click (Show),button_click,summary_spt_drilldown_expanded,"{""button"": ""drill_into_pins_and_skills"", ""state"": ""expanded"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User expands the 'Drill into movement by PINS area & skill' accordion panel.,Medium,No
66,/summary > View 3,Drill-In Panel,Collapse drill-down panel click (Hide),button_click,summary_spt_drilldown_collapsed,"{""button"": ""drill_into_pins_and_skills"", ""state"": ""collapsed"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User collapses the drill-down panel.,Low,No
67,/summary > View 3 > Drill-In,Drilldown Tabs,Switch to 'By PINS' tab,tab_changed,summary_spt_drilldown_tab_pins,"{""tab"": ""pins"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User switches drill-down breakdown to By PINS section view.,Medium,No
68,/summary > View 3 > Drill-In,Drilldown Tabs,Switch to 'By skill' tab,tab_changed,summary_spt_drilldown_tab_skill,"{""tab"": ""skill"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User switches drill-down breakdown to By Skill view.,Medium,No
69,/summary > View 3 > Drill-In,Section Actions,Sparkles / AI icon click in drilldown header,button_click,summary_spt_drilldown_section_sparkle_clicked,"{""button"": ""section_sparkle_ai"", ""view"": ""skill_proficiency_trend"", ""page"": ""summary""}",User clicks the Sparkles AI button inside the PINS Largest Changes drilldown section.,Medium,No
70,/capability,Page Load,Page view,page_view,capability_page_view,"{""page"": ""capability"", ""url"": ""/capability""}",User views the Skill & Compliance deep-dive page.,High,Yes
71,/capability,Filter Bar,Timeframe filter: All time,filter_applied,capability_filter_timeframe_all_time,"{""filter"": ""timeframe"", ""value"": null, ""label"": ""All time"", ""page"": ""capability""}",User selects All time on Capability page.,High,No
72,/capability,Filter Bar,Timeframe filter: Past 7 days,filter_applied,capability_filter_timeframe_7d,"{""filter"": ""timeframe"", ""value"": ""7"", ""label"": ""Past 7 days"", ""page"": ""capability""}",User selects Past 7 days on Capability page.,High,No
73,/capability,Filter Bar,Timeframe filter: Past 30 days,filter_applied,capability_filter_timeframe_30d,"{""filter"": ""timeframe"", ""value"": ""30"", ""label"": ""Past 30 days"", ""page"": ""capability""}",User selects Past 30 days on Capability page.,High,No
74,/capability,Filter Bar,Timeframe filter: Past quarter,filter_applied,capability_filter_timeframe_quarter,"{""filter"": ""timeframe"", ""value"": ""90"", ""label"": ""Past quarter"", ""page"": ""capability""}",User selects Past quarter filter on Capability page.,High,No
75,/capability,Filter Bar,Timeframe filter: Past 6 months,filter_applied,capability_filter_timeframe_6m,"{""filter"": ""timeframe"", ""value"": ""180"", ""label"": ""Past 6 months"", ""page"": ""capability""}",User selects Past 6 months filter.,High,No
76,/capability,Filter Bar,Timeframe filter: Past year,filter_applied,capability_filter_timeframe_365d,"{""filter"": ""timeframe"", ""value"": ""365"", ""label"": ""Past year"", ""page"": ""capability""}",User selects Past year filter.,High,No
77,/capability,Filter Bar,Timeframe filter: Custom range selected,filter_applied,capability_filter_timeframe_custom_opened,"{""filter"": ""timeframe"", ""value"": ""custom"", ""page"": ""capability""}",User selects Custom range — opens date pickers.,Medium,No
78,/capability,Filter Bar > Custom,Custom From date set,input_changed,capability_filter_custom_from_set,"{""filter"": ""timeframe_custom_from"", ""value"": ""{{YYYY-MM-DD}}"", ""page"": ""capability""}",User sets custom start date for Capability page filter.,Medium,No
79,/capability,Filter Bar > Custom,Custom To date set,input_changed,capability_filter_custom_to_set,"{""filter"": ""timeframe_custom_to"", ""value"": ""{{YYYY-MM-DD}}"", ""page"": ""capability""}",User sets custom end date for Capability page filter.,Medium,No
80,/capability,Filter Bar > Custom,Apply custom date range button,button_click,capability_filter_custom_date_applied,"{""filter"": ""timeframe"", ""from"": ""{{from_date}}"", ""to"": ""{{to_date}}"", ""page"": ""capability""}",User clicks Apply to confirm custom date range on Capability page.,High,No
81,/capability,Filter Bar,TA filter: All TAs,filter_applied,capability_filter_ta_all,"{""filter"": ""therapeutic_area"", ""value"": null, ""label"": ""All TAs"", ""page"": ""capability""}",User resets the TA filter to All TAs.,Medium,No
82,/capability,Filter Bar,TA filter: Immunology (IMM),filter_applied,capability_filter_ta_imm,"{""filter"": ""therapeutic_area"", ""value"": ""IMM"", ""label"": ""Immunology"", ""page"": ""capability""}",User filters Capability by Immunology TA.,High,No
83,/capability,Filter Bar,TA filter: Oncology (ONC),filter_applied,capability_filter_ta_onc,"{""filter"": ""therapeutic_area"", ""value"": ""ONC"", ""label"": ""Oncology"", ""page"": ""capability""}",User filters Capability by Oncology TA.,High,No
84,/capability,Filter Bar,TA filter: Neuroscience (NS),filter_applied,capability_filter_ta_ns,"{""filter"": ""therapeutic_area"", ""value"": ""NS"", ""label"": ""Neuroscience"", ""page"": ""capability""}",User filters Capability by Neuroscience TA.,High,No
85,/capability,Filter Bar,TA filter: Specialty Care (SCG),filter_applied,capability_filter_ta_scg,"{""filter"": ""therapeutic_area"", ""value"": ""SCG"", ""label"": ""Specialty Care"", ""page"": ""capability""}",User filters Capability by Specialty Care TA.,High,No
86,/capability,Filter Bar,Region filter: West,filter_applied,capability_filter_region_west,"{""filter"": ""region"", ""value"": ""West"", ""page"": ""capability""}",User filters Capability by West region.,High,No
87,/capability,Filter Bar,Region filter: Central,filter_applied,capability_filter_region_central,"{""filter"": ""region"", ""value"": ""Central"", ""page"": ""capability""}",User filters Capability by Central region.,High,No
88,/capability,Filter Bar,Region filter: Northeast,filter_applied,capability_filter_region_northeast,"{""filter"": ""region"", ""value"": ""Northeast"", ""page"": ""capability""}",User filters Capability by Northeast region.,High,No
89,/capability,Filter Bar,Region filter: Southeast,filter_applied,capability_filter_region_southeast,"{""filter"": ""region"", ""value"": ""Southeast"", ""page"": ""capability""}",User filters Capability by Southeast region.,High,No
90,/capability,Filter Bar,Region filter: East,filter_applied,capability_filter_region_east,"{""filter"": ""region"", ""value"": ""East"", ""page"": ""capability""}",User filters Capability by East region.,High,No
91,/capability,Filter Bar,Clear all filters,button_click,capability_filters_clear_all,"{""button"": ""clear_all_filters"", ""page"": ""capability""}",User clears all active filters on Capability page.,High,No
92,/capability,Proficiency Chart,Toggle chart view: Radar,button_click,capability_chart_toggle_radar,"{""button"": ""chart_view_toggle"", ""value"": ""radar"", ""page"": ""capability""}",User switches the FBMS Skill Proficiency chart to Radar view.,Medium,No
93,/capability,Proficiency Chart,Toggle chart view: Bar,button_click,capability_chart_toggle_bar,"{""button"": ""chart_view_toggle"", ""value"": ""bar"", ""page"": ""capability""}",User switches the FBMS Skill Proficiency chart to Bar chart view.,Medium,No
94,/fcrs,Page Load,Page view,page_view,fcrs_page_view,"{""page"": ""fcrs"", ""url"": ""/fcrs""}",User views the MSL Field Coaching Reports (FCRs) list page.,High,Yes
95,/fcrs,Tabs,Switch to PINS tab,tab_changed,fcrs_tab_pins_selected,"{""tab"": ""pins"", ""prev_tab"": ""{{prev}}"", ""page"": ""fcrs""}",User selects the PINS FCRs tab — filters for PINS-framework coaching reports.,High,No
96,/fcrs,Tabs,Switch to All FCRs tab,tab_changed,fcrs_tab_all_selected,"{""tab"": ""all"", ""prev_tab"": ""{{prev}}"", ""page"": ""fcrs""}",User selects the All FCRs tab — shows all coaching reports regardless of form type.,High,No
97,/fcrs,TA Filter Pills,TA filter: All TAs,filter_applied,fcrs_filter_ta_all,"{""filter"": ""ta"", ""value"": """", ""label"": ""All TAs"", ""page"": ""fcrs"", ""active_tab"": ""{{pins|all}}""}",User selects All TAs filter pill on FCRs list.,High,No
98,/fcrs,TA Filter Pills,TA filter: IMM (Immunology),filter_applied,fcrs_filter_ta_imm,"{""filter"": ""ta"", ""value"": ""IMM"", ""label"": ""Immunology"", ""page"": ""fcrs"", ""active_tab"": ""{{pins|all}}""}",User filters FCR list by Immunology TA.,High,No
99,/fcrs,TA Filter Pills,TA filter: ONC (Oncology),filter_applied,fcrs_filter_ta_onc,"{""filter"": ""ta"", ""value"": ""ONC"", ""label"": ""Oncology"", ""page"": ""fcrs"", ""active_tab"": ""{{pins|all}}""}",User filters FCR list by Oncology TA.,High,No
100,/fcrs,TA Filter Pills,TA filter: NS (Neuroscience),filter_applied,fcrs_filter_ta_ns,"{""filter"": ""ta"", ""value"": ""NS"", ""label"": ""Neuroscience"", ""page"": ""fcrs"", ""active_tab"": ""{{pins|all}}""}",User filters FCR list by Neuroscience TA.,High,No
101,/fcrs,TA Filter Pills,TA filter: SCG (Specialty Care),filter_applied,fcrs_filter_ta_scg,"{""filter"": ""ta"", ""value"": ""SCG"", ""label"": ""Specialty Care"", ""page"": ""fcrs"", ""active_tab"": ""{{pins|all}}""}",User filters FCR list by Specialty Care TA.,High,No
102,/fcrs,Search,Search input (name / FCR ID),search,fcrs_search_submitted,"{""query"": ""{{search_text}}"", ""page"": ""fcrs"", ""active_tab"": ""{{pins|all}}"", ""ta_filter"": ""{{ta}}""}",User types into the FCR search input — debounced search triggers live filter.,High,No
103,/fcrs,Table,FCR row click (opens detail panel),row_click,fcrs_row_clicked,"{""fcr_id"": ""{{fcr_id}}"", ""coachee_name"": ""{{first}} {{last}}"", ""ta"": ""{{ta}}"", ""status"": ""{{status}}"", ""active_tab"": ""{{pins|all}}"", ""page"": ""fcrs""}",User clicks a row in the FCR table to open the FCR detail side panel.,High,No
104,/fcrs,Pagination,Previous page click,pagination,fcrs_pagination_prev_clicked,"{""direction"": ""prev"", ""from_page"": ""{{current_page}}"", ""to_page"": ""{{prev_page}}"", ""total_pages"": ""{{total_pages}}"", ""page"": ""fcrs""}",User navigates to the previous page in the FCR paginated table.,Medium,No
105,/fcrs,Pagination,Next page click,pagination,fcrs_pagination_next_clicked,"{""direction"": ""next"", ""from_page"": ""{{current_page}}"", ""to_page"": ""{{next_page}}"", ""total_pages"": ""{{total_pages}}"", ""page"": ""fcrs""}",User navigates to the next page in the FCR paginated table.,Medium,No
106,/fcrs,Pagination,Specific page number click,pagination,fcrs_pagination_page_number_clicked,"{""page_number"": ""{{page}}"", ""total_pages"": ""{{total_pages}}"", ""page"": ""fcrs""}",User clicks a specific page number pill in the pagination control.,Medium,No
107,/fcrs,Error State,Retry button after load error,button_click,fcrs_retry_clicked,"{""button"": ""retry"", ""page"": ""fcrs"", ""error_context"": ""table_load_failed""}",User clicks Retry after the FCR table fails to load from Redshift.,Medium,No
108,/fcrs > detail,Detail Panel,Panel opened (triggered by row click),panel_opened,fcrs_detail_panel_opened,"{""fcr_id"": ""{{fcr_id}}"", ""coachee_name"": ""{{name}}"", ""ta"": ""{{ta}}"", ""region"": ""{{region}}"", ""status"": ""{{status}}"", ""page"": ""fcrs""}",FCR detail side panel opens — includes coachee profile coaching scores and PINS data.,High,No
109,/fcrs > detail,Detail Panel,Close panel — X button,button_click,fcrs_detail_panel_closed_x,"{""button"": ""close_panel_x"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User explicitly closes the FCR detail panel via the X button.,High,No
110,/fcrs > detail,Detail Panel,Close panel — backdrop click,button_click,fcrs_detail_panel_closed_backdrop,"{""button"": ""backdrop_click"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User closes the FCR detail panel by clicking the dark overlay backdrop.,Medium,No
111,/fcrs > detail > AI,Generate Insights button click,button_click,fcrs_detail_generate_insights_clicked,"{""button"": ""generate_insights"", ""fcr_id"": ""{{fcr_id}}"", ""coachee_name"": ""{{name}}"", ""ta"": ""{{ta}}"", ""coaching_date"": ""{{date}}"", ""page"": ""fcrs""}",User clicks Generate Insights — triggers GPT-powered AI analysis of the FCR coaching session.,High,No
112,/fcrs > detail > AI,Refresh Insights button (when insight already shown),button_click,fcrs_detail_refresh_insights_clicked,"{""button"": ""refresh_insights"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User re-generates the AI coaching insights for the same FCR.,High,No
113,/fcrs > detail > PINS,Score PINS button click,button_click,fcrs_detail_score_pins_clicked,"{""button"": ""score_pins"", ""fcr_id"": ""{{fcr_id}}"", ""coachee_role"": ""{{role}}"", ""page"": ""fcrs""}",User triggers PINS AI scoring — calculates P/I/N/S section scores and 7 FBMS skill scores.,High,No
114,/fcrs > detail > PINS,Re-score PINS button click (after initial score),button_click,fcrs_detail_rescore_pins_clicked,"{""button"": ""rescore_pins"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User re-runs PINS AI scoring after it was already completed once.,High,No
115,/fcrs > detail > PINS,Download PDF button click,button_click,fcrs_detail_download_pdf_clicked,"{""button"": ""download_pdf"", ""fcr_id"": ""{{fcr_id}}"", ""coachee_name"": ""{{name}}"", ""ta"": ""{{ta}}"", ""page"": ""fcrs""}",User downloads the PINS PDF report for the FCR — key export action.,High,No
116,/fcrs > detail > PINS,Expand PINS section behaviors (▾ Behaviors),button_click,fcrs_detail_pins_section_expanded,"{""button"": ""pins_section_behaviors_expand"", ""section"": ""{{P|I|N|S}}"", ""section_label"": ""{{label}}"", ""fcr_id"": ""{{fcr_id}}"", ""page"": ""fcrs""}",User expands a PINS section to see individual observable behavior scores.,Medium,No
